Periodo;Partner;Pais;ID_Link;Nombre_Link;ID_Afiliador;Nombre_Afiliador;Registros;Cantidad_Primeros_Depositos;Valor_Primeros_Depositos
2024-06-01-2024-06-30;Doradobet;Ecuador;19779;Sorteo_Gozalo_ProveedorDoradoEC_Kinito_BA;2457236;QuotaMedia_DBEC;0;1;20
2024-06-01-2024-06-30;Doradobet;Perú;10919;FacebookPE_Registro_UFC_Video;46079;Facebook_DBPE;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;19770;Spot_Chito_FacebookEC_Testimonial_BA;1213088;FacebookEcuabet;0;11;89
2024-06-01-2024-06-30;Ecuabet;Ecuador;19221;Champions_SportRadarEC;255431;QuotaMedia_ECEC;0;1;2
2024-06-01-2024-06-30;Ecuabet;Ecuador;19734;Regalo_Bienvenida_AdCashEC_PopUnder;255431;QuotaMedia_ECEC;0;1;1
2024-06-01-2024-06-30;Ecuabet;Ecuador;19919;Libertadores_MGIDEC;255431;QuotaMedia_ECEC;0;2;10
2024-06-01-2024-06-30;Doradobet;Nicaragua;19820;Default;52;Nica pruebas;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;19916;Sorteo_Freebets_Oro_MGIDEC;255431;QuotaMedia_ECEC;0;1;50
2024-06-01-2024-06-30;Doradobet;Chile;19868;Liga_Chile_FacebookCH_Influencer1_BA;1160207;QuotaMedia_DBCL;0;1;2500
2024-06-01-2024-06-30;Doradobet;Costa Rica;20155;Sorteo_Iphone_FacebookCR_BA;779030;QuotaMedia_DBCR;0;1;2000
2024-06-01-2024-06-30;Ecuabet;Ecuador;20203;ATL_diario_superEC;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;20022;Bono_Bienvenida_FTD_BidQuestEC;7394862;BidQuest_ECEC;0;4;77
2024-06-01-2024-06-30;Doradobet;Nicaragua;20169;Champions_FacebookNC_BA;3053932;QuotaMedia_DBNI;0;8;85
2024-06-01-2024-06-30;Ecuabet;Ecuador;19930;Suma_Premios_MGIDEC_Registro_Casino;255431;QuotaMedia_ECEC;0;1;1
2024-06-01-2024-06-30;Doradobet;Ecuador;20222;BonoBienvenida_RPR_FacebookDoradoEC_Anali_BA;2457236;QuotaMedia_DBEC;0;2;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;20210;Sorteo_Chito_MGIDEC;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Doradobet;Perú;20286;Cuotas_FacebookPE_Amistosos_Perú;46079;Facebook_DBPE;0;9;130
2024-06-01-2024-06-30;Doradobet;Ecuador;20327;Cuotas_FacebookDoradoEC_Amistosos_BA;2457236;QuotaMedia_DBEC;0;2;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;19947;Europeas_BetGeniusEC;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Doradobet;Ecuador;20446;Jerry_RobalinoDBEC;2457236;QuotaMedia_DBEC;0;1;5
2024-06-01-2024-06-30;Doradobet;Perú;15790;Cuotas_FacebookPE_Libertadores;46079;Facebook_DBPE;0;5;53,5
2024-06-01-2024-06-30;Doradobet;Ecuador;20454;Bono_v2_FacebookDoradoEC_Generico_BA;2457236;QuotaMedia_DBEC;0;1;7
2024-06-01-2024-06-30;Ecuabet;Ecuador;19526;Ligapro_MGIDEC_Registro;255431;QuotaMedia_ECEC;0;4;32
2024-06-01-2024-06-30;Ecuabet;Ecuador;20525;FACup_BesoccerEC320x50;255431;QuotaMedia_ECEC;0;1;5
